time,T0,T1,T2,T3,H0
0.252088,53.26,6.44,10.98,27.62,0.0
0.514288,53.12,4.45,8.55,27.71,0.0
0.773272,52.68,-0.58,1.49,27.53,0.0
1.034768,53.12,4.45,6.81,27.62,0.0
1.294072,53.12,1.59,4.16,27.71,0.0
1.55236,52.83,2.79,4.93,27.62,0.0
1.812016,53.12,2.49,5.87,27.62,0.0
2.071416,53.26,0.05,1.49,27.71,0.0
2.330656,53.12,4.26,7.36,27.71,0.0
2.589264,52.83,-0.16,1.59,27.71,0.0
2.849752,52.54,3.87,6.25,27.62,0.0
3.109624,52.68,1.39,4.06,27.71,0.0
3.368736,52.39,2.09,3.77,27.62,0.0
3.62824,52.68,3.38,6.62,27.71,0.0
3.887728,52.39,-0.37,1.39,27.71,0.0
4.148,52.1,3.97,6.62,27.71,0.0
4.406896,52.54,0.57,2.79,27.71,0.0
4.66584,51.8,3.09,5.31,27.62,0.0
4.92556,52.54,1.79,4.54,27.71,0.0
5.184088,52.1,1.69,3.28,27.71,0.0
5.443024,52.1,2.99,6.16,27.71,0.0
5.701976,51.95,0.05,1.69,27.62,0.0
5.961776,51.8,4.06,6.9,27.71,0.0
6.221248,52.24,-0.16,1.99,27.71,0.0
6.48156,51.8,2.59,5.12,27.71,0.0
6.740616,52.24,1.39,4.16,27.71,0.0
6.999096,51.5,1.49,3.77,27.71,0.0
7.25716,51.8,1.89,4.54,27.71,0.0
7.51596,51.8,1.08,2.99,27.62,0.0
7.775784,51.5,3.38,6.72,27.8,0.0
8.035568,51.65,-1.22,0.36,27.71,0.0
8.296144,51.5,3.19,5.59,27.8,0.0
8.558248,51.06,1.39,3.67,27.71,89.0
8.821068,51.36,-0.16,0.36,27.62,86.0
9.08664,51.5,-0.16,0.78,27.71,85.0
9.351616,51.21,-0.69,0.05,27.71,88.0
9.616856,50.91,-1.01,-0.37,27.89,91.0
9.883164,51.21,-0.69,0.15,27.71,89.0
10.147896,51.06,-1.11,-0.26,27.71,90.0
10.413948,51.06,-1.01,-0.05,27.62,91.0
10.6808,50.91,-1.22,-0.37,27.62,92.0
10.947712,50.61,-1.44,-1.01,27.71,96.0
11.213384,50.61,-1.01,-0.05,27.71,96.0
11.479952,50.76,-0.9,-0.47,27.71,94.0
11.746664,50.76,-1.22,-0.79,27.71,95.0
12.013036,50.61,-1.11,-0.26,27.62,96.0
12.279652,50.76,-1.54,-0.9,27.53,95.0
12.547092,50.61,-1.44,-1.11,27.62,97.0
12.812628,50.61,-0.9,-0.37,27.62,97.0
